micros,aX,aY,aZ,gX,gY,gZ,
116355666,181.15,-486.33,1354.00,-39.95,-75.74,-2.29,
116375677,81.54,-405.76,915.53,-52.70,-82.70,-5.15,
116395682,-56.64,-495.12,750.98,-31.63,-44.15,2.89,
116415692,-136.23,-559.08,891.11,-23.18,-59.94,-37.65,
116435698,122.56,-385.25,725.10,-15.15,-77.08,-39.07,
116455709,-0.98,-590.82,1115.23,-25.80,-18.02,12.87,
116475717,59.08,-501.95,657.71,-42.98,-14.95,10.52,
116495725,256.84,-482.42,560.06,-31.51,-32.38,-5.44,
116515736,148.44,-542.97,578.12,-15.79,-57.53,-17.13,
116535746,18.55,-527.83,646.97,5.15,-37.76,-30.99,
116555756,-34.18,-591.80,1117.68,-18.50,11.30,-22.34,
116575763,177.25,-461.91,806.15,-47.80,66.60,3.21,
116595771,249.02,-477.54,746.09,-57.18,33.22,33.10,
116615777,235.84,-478.03,492.19,-41.01,-62.00,35.88,
116635786,156.25,-603.03,436.04,3.73,-95.31,31.59,
116655793,31.25,-658.69,386.72,16.87,-74.41,7.36,
116675798,136.23,-690.92,631.35,12.55,-6.06,-5.28,
116695808,424.32,-670.90,684.57,-15.42,58.02,26.31,
116715814,442.38,-711.43,642.58,-31.02,29.45,43.36,
116735820,262.21,-483.89,394.04,-40.24,-48.02,17.73,
116755828,-58.59,-454.10,340.33,-29.27,-16.29,21.08,
116775837,-16.11,-250.98,126.95,-17.53,8.23,-2.41,
116795844,-203.61,-133.30,143.55,-9.33,78.14,1.08,
116815849,-206.54,62.50,-15.62,15.24,110.79,4.37,
116835855,-455.08,-8.30,138.18,25.94,84.44,12.41,
116855862,-336.91,-58.11,-63.96,13.22,101.30,-18.40,
116875873,-153.32,-57.62,-284.18,44.90,87.47,-4.72,
116895883,-278.32,-71.78,258.30,120.70,-28.17,-58.05,
116915889,-97.17,35.16,1082.52,119.91,-60.15,-56.50,
116935894,-83.01,-185.06,1445.31,75.50,-4.26,-34.79,
116955904,652.34,231.45,629.88,41.80,11.80,-15.36,
116975913,391.60,58.11,570.80,66.31,26.67,10.66,
116995924,197.27,-55.66,764.65,80.73,15.88,-12.63,
117015932,-62.99,-226.07,1172.36,60.95,30.84,-37.04,
117035940,71.29,-83.50,1142.09,37.30,54.99,-52.50,
117055949,552.73,148.93,821.78,18.26,89.11,1.37,
117075955,148.44,12.21,489.75,25.11,30.32,9.04,
