micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
6898945,27.34,-41.02,-967.29,1.76,4.14,-0.58,5.10,5.55,16.80,
6918953,86.43,-41.50,-963.38,-2.60,-8.69,-6.23,5.25,6.45,16.20,
6938958,55.18,-60.06,-1029.79,-3.15,6.05,-0.50,4.95,6.45,16.65,
6958965,88.38,-44.43,-980.47,3.66,15.47,5.31,5.55,5.10,16.65,
6978976,62.99,-42.97,-1002.44,5.83,11.73,1.04,5.40,4.80,18.15,
6998982,90.82,-37.11,-985.35,3.11,-0.70,2.58,4.35,4.20,17.10,
7018993,54.69,-27.34,-942.38,-3.15,-6.63,-1.95,4.95,4.65,15.90,
7039003,64.94,-41.99,-978.52,-2.90,-9.15,-4.17,5.70,5.55,16.05,
7059013,97.17,-38.09,-993.65,-4.52,-10.37,-3.77,5.55,3.90,15.90,
7079020,116.21,-90.82,-935.55,-2.20,-12.73,-1.69,5.40,5.55,16.05,
7099031,35.64,-50.29,-1033.20,-4.75,-26.90,4.87,5.10,5.55,17.10,
7119039,13.67,-31.74,-994.14,3.85,-29.30,-4.03,6.15,4.50,15.30,
7139047,85.45,-16.60,-974.12,2.03,11.01,0.40,4.20,6.15,16.95,
7159058,37.60,-41.02,-978.52,-3.24,4.75,-1.79,5.55,4.35,14.85,
7179069,-14.16,-43.95,-963.87,-1.62,-3.44,-4.00,4.65,4.50,16.05,
7199077,68.36,-17.58,-947.27,4.40,5.42,-1.50,6.00,5.10,16.20,
7219083,22.46,-25.88,-928.71,-10.89,-7.36,0.06,7.35,3.90,15.90,
7239094,65.92,-24.90,-992.19,-7.15,-7.33,-0.50,7.05,3.60,16.20,
7259103,59.08,-45.90,-1138.18,-12.00,0.99,-4.64,6.15,5.55,17.10,
7279111,30.76,-37.60,-994.63,5.62,14.14,0.26,7.95,5.55,15.30,
7299116,54.69,-33.69,-1029.30,12.49,12.78,-0.55,5.40,4.80,16.80,
7319126,41.02,-48.34,-963.87,-5.05,0.75,-1.65,6.90,5.55,15.30,
7339131,49.80,-16.60,-917.48,0.17,0.06,-1.27,4.50,4.65,15.90,
7359140,84.47,-50.29,-1082.03,1.42,0.06,-3.08,4.95,4.35,16.95,
7379149,1.95,-37.11,-883.79,-3.25,0.58,-0.47,7.05,4.65,16.65,
7399156,69.34,-19.53,-968.26,-5.22,-7.22,-1.07,6.30,5.10,16.20,
7419163,36.62,-34.67,-994.63,-10.34,-7.74,-0.18,5.40,6.30,17.85,
7439168,82.03,-54.20,-1020.51,8.34,17.53,0.84,6.00,6.45,15.15,
7459174,39.55,-22.95,-1000.98,-2.61,8.43,-2.00,6.90,5.25,15.75,
7479183,62.01,-15.62,-991.21,-0.18,-0.47,-1.01,6.30,5.40,17.25,
7499188,69.34,-46.88,-1076.66,4.32,-4.20,-2.60,6.15,4.80,17.10,
7519195,-9.28,-13.18,-958.98,6.70,2.99,-1.40,5.25,6.15,16.65,
7539202,54.69,-20.51,-946.78,-3.62,-1.39,-5.04,5.55,4.65,15.15,
7559206,58.59,-62.01,-983.40,-8.32,-2.31,-1.22,6.15,3.45,15.00,
7579216,57.62,-50.29,-1018.55,0.44,-5.10,-0.67,5.55,4.65,15.90,
7599225,86.43,-70.80,-999.02,-3.37,-25.27,0.05,6.90,5.55,17.10,
7619229,-19.04,-31.25,-1037.11,-10.56,-38.99,1.82,6.60,5.10,16.20,
7639238,-31.74,-8.79,-979.49,-1.88,-28.72,-5.04,6.90,4.80,16.80,
7659247,56.64,-3.91,-1006.84,-1.44,-14.02,-3.80,7.50,6.30,15.30,
7679253,-108.89,-6.35,-1019.04,-0.40,-6.60,-12.35,7.35,4.35,16.95,
7699260,75.68,-25.39,-945.80,1.37,2.06,-1.25,8.70,3.90,15.90,
7719265,-41.50,11.72,-947.27,8.55,6.55,-1.94,8.40,5.40,16.20,
7739272,-7.32,-42.97,-939.45,-11.34,-5.01,-6.69,9.60,3.45,18.45,
7759280,30.27,-40.53,-1099.61,-1.68,12.75,0.43,8.55,5.55,17.10,
7779288,-19.04,-44.43,-975.10,3.34,16.35,-4.12,8.55,4.20,16.35,
7799297,13.18,-42.48,-976.56,-2.85,10.60,-0.03,7.95,5.25,17.10,
7819306,50.78,-26.86,-1006.35,5.36,9.11,-3.77,7.35,4.65,16.65,
7839316,1.46,-48.34,-1005.37,0.27,14.41,1.91,9.15,5.40,17.25,
7859326,-8.79,-20.51,-953.12,-0.55,8.06,-1.56,8.10,5.85,15.90,
7879337,20.51,-47.36,-983.40,6.95,2.53,-2.81,6.30,4.35,17.25,
7899341,-11.23,-41.50,-984.86,-8.90,1.69,-4.79,7.35,6.15,15.15,
7919351,30.27,-44.43,-946.78,-8.96,2.43,-0.53,7.50,3.75,16.35,
7939357,44.43,-56.15,-1075.68,-1.92,3.66,-5.66,6.45,3.45,17.40,
7959364,10.74,-41.02,-978.03,-0.20,7.15,-1.07,6.90,4.50,16.80,
7979374,3.91,-22.46,-942.38,-8.64,-5.82,-1.69,6.45,3.75,16.05,
7999379,9.28,-29.79,-1031.25,-8.17,-0.81,0.00,7.20,4.50,15.30,
8019387,66.89,-20.51,-1050.29,-5.76,-2.92,-2.53,7.50,4.80,16.05,
8039395,-8.30,-0.98,-1012.70,2.60,-6.95,-1.18,7.35,5.85,17.55,
8059403,11.23,-16.11,-924.80,5.97,-6.61,-4.69,8.25,6.00,17.10,
8079413,37.60,-16.11,-1014.16,-1.80,-10.15,-8.11,7.50,5.55,16.35,
8099417,-28.81,-22.95,-986.33,3.05,2.52,-3.34,8.10,5.10,15.60,
8119422,48.34,-32.71,-984.38,0.82,6.73,-0.17,8.10,6.45,15.90,
8139433,-13.67,-20.51,-990.72,6.41,9.60,-1.31,9.30,6.75,18.15,
8159438,1.46,-29.30,-896.00,-0.24,8.53,-4.85,8.70,4.35,15.90,
8179446,59.57,-60.06,-1017.09,-0.67,-1.05,-10.17,8.10,5.85,16.65,
8199452,7.32,-15.14,-1022.46,-14.81,-10.73,4.21,6.60,6.45,16.65,
8219461,40.53,-17.58,-1021.00,0.81,-2.96,3.95,8.40,6.45,15.90,
8239465,-33.69,-31.74,-1050.29,-1.04,-2.73,-1.21,7.20,6.75,16.05,
8259471,21.00,-22.46,-987.79,2.99,-1.97,-4.95,7.05,5.40,16.65,
